Date,DateValue,Price,Open,High,Low
27-11-12,41240,1.2945,1.297,1.301,1.2915
28-11-12,41241,1.2953,1.2944,1.2956,1.288
29-11-12,41242,1.2978,1.2952,1.3014,1.2938
30-11-12,41243,1.2986,1.2978,1.3028,1.2969
03-12-12,41246,1.3054,1.2984,1.3077,1.2972
04-12-12,41247,1.3094,1.3053,1.3109,1.3045
05-12-12,41248,1.3068,1.3095,1.3128,1.3061
06-12-12,41249,1.2968,1.3068,1.3088,1.2949
07-12-12,41250,1.2927,1.2969,1.2974,1.2881
10-12-12,41253,1.2941,1.2901,1.2947,1.2879
11-12-12,41254,1.3006,1.2942,1.3016,1.2929
12-12-12,41255,1.3074,1.3007,1.3098,1.2994
13-12-12,41256,1.3078,1.3074,1.3102,1.3041
14-12-12,41257,1.3163,1.3079,1.3175,1.3067
17-12-12,41260,1.3165,1.319,1.3192,1.3144
18-12-12,41261,1.323,1.3164,1.3239,1.3155
19-12-12,41262,1.3228,1.323,1.331,1.3222
20-12-12,41263,1.3244,1.3228,1.3297,1.3189
21-12-12,41264,1.3188,1.3245,1.3255,1.3159
24-12-12,41267,1.3186,1.3188,1.3234,1.3167
25-12-12,41268,1.3183,1.3184,1.3208,1.317
26-12-12,41269,1.3224,1.3183,1.3255,1.317
27-12-12,41270,1.3236,1.3225,1.3285,1.3201
28-12-12,41271,1.3216,1.3236,1.3258,1.3167
31-12-12,41274,1.3196,1.3214,1.3236,1.3173
01-01-13,41275,1.3205,1.3194,1.322,1.318
02-01-13,41276,1.3186,1.3205,1.3302,1.3157
03-01-13,41277,1.3048,1.3187,1.3192,1.3046
04-01-13,41278,1.3069,1.3048,1.3091,1.2999
07-01-13,41281,1.3117,1.3072,1.3121,1.3018
08-01-13,41282,1.3083,1.3116,1.3142,1.3058
09-01-13,41283,1.3064,1.3081,1.3096,1.3037
10-01-13,41284,1.3271,1.3065,1.3273,1.3039
11-01-13,41285,1.3344,1.3272,1.3366,1.3248
14-01-13,41288,1.3383,1.334,1.3404,1.3334
15-01-13,41289,1.3304,1.3382,1.3394,1.3268
16-01-13,41290,1.329,1.3304,1.3325,1.3257
17-01-13,41291,1.3377,1.3291,1.339,1.3271
18-01-13,41292,1.3319,1.3377,1.3403,1.3281
21-01-13,41295,1.3314,1.3321,1.3333,1.33
22-01-13,41296,1.3321,1.3312,1.3373,1.3268
23-01-13,41297,1.3318,1.3321,1.3356,1.3265
24-01-13,41298,1.3376,1.3319,1.3394,1.3287
25-01-13,41299,1.3462,1.3377,1.3481,1.335
28-01-13,41302,1.3456,1.3464,1.3478,1.3424
29-01-13,41303,1.3493,1.3455,1.3498,1.3415
30-01-13,41304,1.3568,1.3491,1.3588,1.3481
31-01-13,41305,1.3579,1.3567,1.3594,1.354
01-02-13,41306,1.364,1.3577,1.3712,1.3572
04-02-13,41309,1.3514,1.3642,1.3659,1.3504
05-02-13,41310,1.3584,1.3514,1.3599,1.3459
06-02-13,41311,1.3523,1.3584,1.3598,1.3495
07-02-13,41312,1.3396,1.3521,1.3577,1.3369
08-02-13,41313,1.3365,1.3398,1.3431,1.3354
11-02-13,41316,1.3407,1.3359,1.3428,1.3325
12-02-13,41317,1.3454,1.3406,1.3476,1.3365
13-02-13,41318,1.3453,1.3453,1.3521,1.3426
14-02-13,41319,1.3361,1.3451,1.3456,1.3314
15-02-13,41320,1.3363,1.3363,1.3394,1.3306
18-02-13,41323,1.3352,1.3357,1.3377,1.3321
19-02-13,41324,1.3388,1.3352,1.3397,1.3329
20-02-13,41325,1.3281,1.3387,1.3434,1.327
21-02-13,41326,1.3189,1.3283,1.3291,1.3161
22-02-13,41327,1.319,1.319,1.3247,1.3146
25-02-13,41330,1.3062,1.3175,1.3319,1.3047
26-02-13,41331,1.3062,1.3062,1.3121,1.3018
27-02-13,41332,1.3139,1.306,1.3148,1.3041
28-02-13,41333,1.3056,1.3138,1.3163,1.3051
01-03-13,41334,1.3022,1.3055,1.3102,1.2967
04-03-13,41337,1.3026,1.3018,1.3032,1.2982
05-03-13,41338,1.3051,1.3026,1.3077,1.3009
06-03-13,41339,1.2967,1.3053,1.3072,1.2963
07-03-13,41340,1.3106,1.2967,1.3121,1.2967
08-03-13,41341,1.3006,1.3107,1.3136,1.2957
11-03-13,41344,1.3045,1.2999,1.3054,1.298
12-03-13,41345,1.3034,1.3044,1.3076,1.2992
